zip5,city_sample,state_sample,n_site_days,latitude,longitude,state_geocode,county_name,has_lat_lon
75224,Dallas,TX,728,32.7114,-96.8387,TX,Dallas,True
75287,Dallas,TX,728,33.0005,-96.8314,TX,Dallas,True
75418,Bonham,TX,727,33.5806,-96.1836,TX,Fannin,True
75601,Longview,TX,472,32.5178,-94.7303,TX,Gregg,True
75771,Lindale,TX,728,32.5062,-95.4006,TX,Smith,True
76049,Granbury,TX,728,32.4488,-97.7285,TX,Hood,True
76053,Hurst,TX,728,32.8211,-97.1756,TX,Tarrant,True
76502,Temple,TX,728,31.071,-97.3898,TX,Bell,True
77051,Houston,TX,728,29.6579,-95.3688,TX,Harris,True
77055,Houston,TX,728,29.7971,-95.4958,TX,Harris,True
77075,Houston,TX,727,29.6223,-95.26,TX,Harris,True
77076,Houston,TX,728,29.858,-95.3834,TX,Harris,True
77083,Houston,TX,727,29.6947,-95.6511,TX,Harris,True
77086,Houston,TX,728,29.9227,-95.4939,TX,Harris,True
77095,Houston,TX,728,29.8941,-95.6481,TX,Harris,True
77320,Huntsville,TX,728,30.847,-95.597,TX,Walker,True
77339,KINGWOOD,TX,725,30.0569,-95.1835,TX,Harris,True
77357,New Caney,TX,728,30.1579,-95.198,TX,Montgomery,True
77375,Tomball,TX,1454,30.0739,-95.6201,TX,Harris,True
77449,Katy,TX,1447,29.8323,-95.736,TX,Harris,True
77477,Stafford,TX,728,29.6228,-95.5678,TX,Fort Bend,True
77504,Pasadena,TX,728,29.6501,-95.1885,TX,Harris,True
77539,Dickinson,TX,728,29.4585,-95.0345,TX,Galveston,True
77546,Friendswood,TX,728,29.5224,-95.1879,TX,Galveston,True
77573,League City,TX,728,29.5173,-95.0963,TX,Galveston,True
77706,Beaumont,TX,691,30.0948,-94.1648,TX,Jefferson,True
78045,Laredo,TX,727,27.6357,-99.5923,TX,Webb,True
78064,Pleasanton,TX,727,28.9924,-98.4831,TX,Atascosa,True
78258,San Antonio,TX,728,29.6562,-98.4967,TX,Bexar,True
78363,Kingsville,TX,728,27.4229,-97.8407,TX,Kleberg,True
78624,Fredericksburg,TX,502,30.2817,-98.8799,TX,Gillespie,True
78626,Georgetown,TX,728,30.633,-97.6707,TX,Williamson,True
78640,Kyle,TX,728,29.9966,-97.8335,TX,Hays,True
78666,San Marcos,TX,728,29.8754,-97.9404,TX,Hays,True
78703,Austin,TX,721,30.2907,-97.7648,TX,Travis,True
78737,Austin,TX,728,30.2107,-97.9427,TX,Travis,True
79336,Levelland,TX,727,33.5788,-102.3676,TX,Hockley,True
79423,Lubbock,TX,728,33.5146,-101.8795,TX,Lubbock,True
79735,Fort Stockton,TX,727,30.8908,-102.8799,TX,Pecos,True
80013,Aurora,CO,720,39.6575,-104.7846,CO,Arapahoe,True
80113,Englewood,CO,728,39.6405,-104.9614,CO,Arapahoe,True
80226,Lakewood,CO,728,39.7123,-105.0918,CO,Jefferson,True
80232,Lakewood,CO,716,39.6895,-105.0908,CO,Jefferson,True
80260,Federal Heights,CO,728,39.8672,-105.0041,CO,Adams,True
80439,Evergreen,CO,728,39.6374,-105.3402,CO,Jefferson,True
81650,Rifle,CO,728,39.5491,-107.7898,CO,Garfield,True
82001,Cheyenne,WY,728,41.1437,-104.7962,WY,Laramie,True
83404,Idaho Falls,ID,728,43.475,-112.0124,ID,Bonneville,True
83815,Coeur d'Alene,ID,728,47.7248,-116.789,ID,Kootenai,True
