client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
championxpress_f4c65eaeaae263eef498998718839593eceb62b399c813f6afd7a01a5fa3739f,2024-01-01,40.9765307,-90.3654912,IL,Midwest,GALESBURG,61401-1222,young,23660,"Galesburg, IL",882675720bfffff
championxpress_f653b793950a8e4aa57089fe0e6d7c08dea91447b9d1965ec8ceeba45d4b428a,2024-01-01,31.698634,-106.221197,TX,South,EL PASO,79928-6314,young,21340,"El Paso, TX",8848c6c011fffff
championxpress_f714ba83da4be717584d74fcb4de5b3d1ad42eb7def72371c6cc470b78b10f29,2024-01-01,37.243331,-107.870827,CO,West,DURANGO,81301,young,20420,"Durango, CO",8826994357fffff
championxpress_fa4cd0e43fb3e5b8174d89f22c30d65bbeb63d8d2920461cb518e40f44b0ec4c,2024-01-01,35.136501,-106.6419371,NM,West,ALBUQUERQUE,87107-5205,young,10740,"Albuquerque, NM",8848d88611fffff
championxpress_fbe817467f45901f3aeffe41bfc958397e80db4d93d1da53e1e2d10fe640bd8b,2024-01-01,31.781584,-106.21569,TX,South,EL PASO,79938,young,21340,"El Paso, TX",8848c6ce47fffff
championxpress_fcb7a0634d2dc69682206a2bea3c011ae5f459b6e88aea5bb957314e393acd60,2024-01-01,40.9700414,-90.3823484,IL,Midwest,GALESBURG,61401-1302,young,23660,"Galesburg, IL",8826757207fffff
circlek_4,2024-05-29,37.0502256,-84.626411,KY,South,Somerset,42501,young,43700,"Somerset, KY",8844cb2eb3fffff
clean_4,2024-03-20,32.2066453,-98.2326992,TX,South,Stephenville,76401,young,44500,"Stephenville, TX",88489b2b21fffff
clearwater_16,2024-04-25,29.801015,-95.409759,TX,South,Houston,77008,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446c320bfffff
clearwater_17,2024-04-18,33.7617077,-96.5824205,TX,South,Denison,75020,young,43300,"Sherman-Denison, TX",8826c8814bfffff
clearwater_19,2024-08-27,32.456287,-97.7267,TX,South,Granbury,76049,young,19100,"Dallas-Fort Worth-Arlington, TX",8826ca2e33fffff
clearwater_20,2024-10-03,29.665539,-95.463115,TX,South,Houston,77035,young,26420,"Houston-The Woodlands-Sugar Land, TX",88446caacdfffff
