client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
splashzonecarwash_3,2024-04-30,31.6423397,-84.2539721,GA,South,Leesburg,31763,young,10500,"Albany, GA",8844e34501fffff
sudsdeluxe_10,2024-07-10,29.8504544,-97.9609079,TX,South,San Marcos,78666,young,12420,"Austin-Round Rock, TX",88489eb715fffff
sudstop_1,2024-03-21,27.448146,-82.533542,FL,South,Bradenton,34203,young,35840,"North Port-Sarasota-Bradenton, FL",88441e621bfffff
sudstop_10,2024-06-27,32.3830288,-86.207026,AL,South,Montgomery,36117,young,33860,"Montgomery, AL",8844eeb4d5fffff
sudstop_3,2024-04-29,33.9357467,-84.1847587,GA,South,Norcross,30071,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844c1381bfffff
sudstop_4,2024-09-10,34.922906,-81.978752,SC,South,Spartanburg,29301,young,43900,"Spartanburg, SC",8844dd4835fffff
sudstop_6,2024-05-22,34.8309749,-86.5712452,AL,South,Meridianville,35759,young,26620,"Huntsville, AL",882649ae59fffff
sudstop_8,2024-06-06,30.2307399,-85.8916138,FL,South,Panama City Beach,32413,young,37460,"Panama City, FL",8844e50b17fffff
sudstop_9,2024-07-18,30.683075,-86.123384,FL,South,DeFuniak Springs,32435,young,18880,"Crestview-Fort Walton Beach-Destin, FL",8844e528adfffff
texaspridecarwash_1,2024-03-12,32.6977577,-96.4538761,TX,South,Heartland,75126,young,19100,"Dallas-Fort Worth-Arlington, TX",8826cb96cbfffff
thoroughbred_19,2024-02-23,38.7751801,-85.4066432,IN,Midwest,Madison,47250,young,31500,"Madison, IN",88266cad85fffff
thoroughbred_20,2024-02-21,45.665691,-118.809255,OR,West,Pendleton,97801,young,25840,"Hermiston-Pendleton, OR",88288c7493fffff
thoroughbred_21,2024-03-19,38.9874878,-85.6113892,IN,Midwest,North Vernon,47265,young,35860,"North Vernon, IN",88266c14a1fffff
thoroughbred_23,2024-08-28,39.5206509,-85.7566336,IN,Midwest,Shelbyville,46176,young,26900,"Indianapolis-Carmel-Anderson, IN",882a926c3bfffff
thoroughbred_24,2024-06-19,46.584069,-120.595448,WA,West,Yakima,98908,young,49420,"Yakima, WA",882889a34dfffff
thoroughbred_25,2024-07-02,46.56265,-120.493242,WA,West,Union Gap,98903,young,49420,"Yakima, WA",882889ba37fffff
