n_pre_nbrs,n_pre_nbrs_5km,n_matured_pre_nbrs,nbr_mat_min_strict,nbr_mat_std_strict,nbr_mat_median_strict,nbr_mat_cv_strict,local_recent_wash_mean,op_n_sites_preT,op_n_prior_matured,op_track_mean_strict,op_track_goodfrac_strict,site_key,client_id,t_open,y,realized_mature,express_like,group,oof_prob
25,14,6,620.5,5432.370790889922,6345.0,0.7846111231378412,7075.0,37,0,,,bluewave_000567::45,bluewave_000567,2023-11-01,1,9095.53846153846,True,bluewave_000567,0.5350318058902295
25,14,6,620.5,5432.370790889922,6345.0,0.7846111231378412,7075.0,37,0,,,bluewave_000567::46,bluewave_000567,2023-11-01,1,8078.538461538462,True,bluewave_000567,0.5350318058902295
2,0,1,1719.2307692307693,,1719.2307692307693,,1306.0833333333337,1,0,,,busterscw_000595::1,busterscw_000595,2023-11-01,1,10803.384615384615,True,busterscw_000595,0.36482168726886827
3,0,0,,,,,3681.722222222222,40,8,10342.51923076923,1.0,championxpresscw_000216::45,championxpresscw_000216,2023-11-01,0,7188.076923076923,True,championxpresscw_000216,0.4257648170480334
3,2,1,5556.2307692307695,,5556.2307692307695,,9505.333333333334,1,0,,,halloffamecw_000586::1,halloffamecw_000586,2023-11-01,1,10166.923076923076,True,halloffamecw_000586,0.4456150922143131
7,0,2,3956.0,1512.1750479820932,5025.2692307692305,0.3009142353454803,5128.116666666667,40,0,,,luvcarwash_000457::48,luvcarwash_000457,2023-11-01,1,8318.538461538461,True,luvcarwash_000457,0.24255308972688064
2,1,0,,,,,8952.583333333332,43,0,,,magnolia_000414::55,magnolia_000414,2023-11-01,1,8611.0,True,magnolia_000414,0.6161549867025321
2,1,0,,,,,8952.583333333332,43,0,,,magnolia_000414::56,magnolia_000414,2023-11-01,0,4516.923076923077,True,magnolia_000414,0.6161549867025321
11,0,3,4337.153846153846,3055.442532115626,9250.076923076924,0.3895922983826452,5656.977272727273,1,0,,,orbitcw_000611::1,orbitcw_000611,2023-11-01,1,9838.0,True,orbitcw_000611,0.3582222993909788
9,0,3,935.9230769230768,8357.614605583552,12352.53846153846,0.8218987680046764,7210.041666666667,5,3,14379.02564102564,1.0,americanpride_000238::6,americanpride_000238,2023-12-01,1,16246.53846153846,True,americanpride_000238,0.6483514946241349
30,19,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6807.551724137932,42,0,,,bluewave_000567::42,bluewave_000567,2023-12-01,0,15129.307692307691,True,bluewave_000567,0.5254594944580846
30,19,6,620.5,5432.370790889922,6345.0,0.7846111231378412,6807.551724137932,42,0,,,bluewave_000567::47,bluewave_000567,2023-12-01,0,6383.461538461538,True,bluewave_000567,0.5254594944580846
2,0,1,1993.3076923076924,,1993.3076923076924,,2983.416666666667,42,0,,,bluewave_000567::48,bluewave_000567,2023-12-01,1,18597.76923076923,True,bluewave_000567,0.3721556251136018
